Item,Qty,Reference(s),Value
1,14,"C1, C3, C5, C6, C7, C15, C18, C19, C20, C21, C22, C24, C25, C40",0.1uF
2,1,C2,220pF
3,6,"C4, C8, C9, C14, C17, C23",4.7uF
4,4,"C10, C11, C12, C13",470pF
5,1,C16,0.047uF
6,2,"IC1, IC2",74LS245
7,1,IC3,MC6844
8,1,IC9,6522
9,1,IC14,ZN448E
10,4,"IC15, IC16, IC17, IC18",ZN428E
11,1,J1,Apple II Bus
12,1,J2,AUD_IN
13,2,"J4, J7",Conn_01x02
14,2,"J5, J6",Conn_01x02
15,1,PL1,Keyboard
16,1,R1,47 ohm 1 watt
17,1,R2,82K
18,1,R3,220
19,1,R4,4.7K
20,1,R5,2.2K
21,1,R6,680
22,1,R7,3.9K
23,2,"R8, R13",2.0K
24,4,"R9, R10, R11, R12",22K
25,1,R18,390
26,1,REG1,LM7805_TO220
27,2,"RN1, RN2",10K
28,1,RV1,10K
29,1,U1,74LS10
30,3,"U2, U6, U7",74LS74
31,1,U3,74LS125
32,1,U4,74LS14
33,1,U5,74LS32
34,1,U8,74LS139
35,1,U9,AM9513
36,1,U10,TL081
